id,name,country,marketcap,revenue,earnings,employees,dividends,pe_ratio
8015,Ni podatka,USA,1613304223.1106,1015349951.0469,94990135.778785,5400,0.02,31.6436
8016,Alamos Gold,Canada,10676888945.559,1291516394.5794,504649817.41905,2400,0.24,47.0635
8017,Alamo Group,USA,2230295599.2874,1367528202.7031,144463290.48645,3750,1.16,21.7621
8018,Ni podatka,USA,5806783183.8574,2460756275.4382,1099805992.9621,165,0.25,7.33495
8019,Ni podatka,USA,6908767249.5427,565078464.00487,266271298.69092,75,0.19,40.5922
8020,Agnico Eagle Mines,Canada,59852906608.157,8276923362.6955,3797284316.0713,10125,0.28,23.578
8021,AGCO,USA,7231026577.9141,8712403950.727,Ni podatka,27900,0.63,9690.441334486
8022,AG Mortgage Investment Trust,USA,203569213.24262,61009353.605866,38513380.32937,Ni podatka,0.27,13.8704
8023,Affiliated Managers Group,USA,5534257756.2106,1739123310.0295,794403777.42052,4100,0.16,15.2222
8025,AerCap,Ireland,18907047667.017,6838463253.544,2747352319.8307,698,0.71,8.17162
8026,Ni podatka,Netherlands,10623114886.231,10323774141.098,,15582,0.13,192.592
8027,AECOM,USA,14263945493.822,13767980168.731,938998112.4115,51000,0.08,27.2164
8029,Ni podatka,USA,484672564.0575,1297650647.7911,73995607.054114,1450,1.25,6.67089
8030,Ni podatka,USA,9686257667.5896,2499942864.7908,486817486.80353,6000,0.32,26.1131
8032,Ni podatka,USA,4057996607.5263,1531670437.8688,293972222.64707,4624,2.09,20.6213
8033,ADT,USA,6096827367.1808,4332811816.0561,1121903693.7249,12800,0.91,12.2254
8034,Ni podatka,Ireland,1745244914.4488,12341308925.986,Ni podatka,70000,1.88,2148.1020741463
8035,Adecoagro,Luxembourg,729384461.97624,1330402352.4216,31731613.095284,8896,1.07,29.9061
8036,ADC Therapeutics,Switzerland,313155048.24921,66161201.283693,Ni podatka,263,0.93,278.36250960827
8039,Ni podatka,USA,3865946332.9933,2132272240.5999,274306125.46825,7300,1.37,20.52
8040,Ni podatka,USA,8646638425.049,3570577323.246,474072766.36362,13200,1.32,25.3408
8042,Acco Brands,USA,307249967.03738,1354297846.7464,85478702.950478,5000,0.25,7.96
8043,Accel Entertainment,USA,834604764.29614,1095945747.3289,77741938.183427,1500,0.09,23.5918
8044,Ni podatka,USA,2430616950.7139,330664683.91359,Ni podatka,129,0.55,125.375
8045,Ni podatka,USA,2616074395.0673,7278708551.24,190485606.57501,117000,1.15,39.5645
8051,Abercrombie &amp; Fitch,USA,3938641999.1185,4304056540.5636,635626658.43999,6600,1.22,9.1575
8052,ABB,Switzerland,105227573723.36,28757844992.638,4936009670.3768,110970,0.59,29.636
8054,A10 Networks,USA,1087039250.1935,236775150.67279,45147829.558372,481,0.8,25.1286
8056,Ni podatka,USA,235936102.68783,615210267.23528,4607970.1590538,1942,5.76,173.01300597191
8059,3D Systems,USA,264735361.1699,354027435.22,Ni podatka,1833,5.86,206.4165071249
8064,Emami,India,2433371141.3299,382627818.67771,90683653.630137,3205,1.08,29.9142
8082,Ni podatka,Japan,8344542206.263,5629069837.6242,834586476.30751,5012,1.15,3.4644
8085,Maruwa,Japan,2924010838.3134,420334939.55625,152128109.25102,1380,2.45,32.5973
8094,momo.com Inc.,Taiwan,1880296995.4579,3012027001.3995,103576548.57516,,1.94,22.4962
8096,Alok Industries,India,839627103.174,365418387.13019,Ni podatka,14803,0.12,16.910137033689
8106,Evolution Gaming,Sweden,15270032707.959,1983231690.6194,1317160005.4646,16368,2.07,13.7121
8111,Keyence,Japan,80192092228.711,5851722345.17,3053131395.3853,12286,0.87,39.6092
8129,WEG ON,Brazil,25143949751.29,6174734804.2955,1249624978.1334,47529,0.21,26.356
8135,Bank of Beijing,China,15237690543.1,8205890371.2571,3365368481.1628,20138,1.96,4.06438
8149,Federal Bank,India,4575922586.5236,1480060097.1799,548542017.93408,12641,0.03,11.3883
8157,Zijin Mining,China,73777550864.901,36589844821.929,6902773558.2638,55690,2.49,21.2054
8158,Grupo Carso,Mexico,12729197593.105,8657215504.0795,1067849976.8591,88291,0.11,22.7541
8163,ENN Energy,China,7631251644.5007,12892273032.645,1032408005.6357,35197,0.4,11.0141
8168,Lundbergföretagen,Sweden,10777380660.247,2434178585.3203,763120113.8407,4170,0.66,24.7223
8176,Shandong Gold Mining,China,17306782318.147,10634203009.708,769824796.07213,17439,1.12,
8185,Mahanagar Gas,India,1200996550.0059,771957343.24923,142312618.91222,491,1.77,10.8101
8198,China Communications Construction,China,15747396195.4,89044864258.069,7351596703.7559,137471,1.4,7.1223
8216,Kimberly-Clark de México,Mexico,4919065589.3904,2349908918.6681,572231095.75176,9513,1.09,15.3803
8227,Ni podatka,India,5213318641.2672,1209366812.1723,191345532.60469,4097,0.57,62.6721
8228,Hatsun Agro Products,India,1930063868.0077,895967426.7337,38776068.888438,5541,0.57,51.415
8236,CK Infrastructure,Hong Kong,14465303201.719,550847495.03666,956616318.01963,2358,0.1,0.0
8240,Ni podatka,India,1168857680.5681,220264151.21788,53107284.33311,6034,1.42,20.8645
8246,Ni podatka,China,12524610773.034,124541435760.94,3707206207.962,264045,0.0,5.2742
8247,Grupo Financiero Inbursa,Mexico,13813134274.721,3696630165.2965,2005314954.2177,10093,1.78,12.3875
8273,Muangthai Capital,Thailand,2088876098.3505,579803955.53416,201733164.96325,Ni podatka,1.32,13.5053
8280,The Saudi National Bank,S. Arabia,47245509890.324,8864804982.8559,5889773843.298,15679,0.57,9.49995
8288,Cummins India,India,10301686545.323,1085585340.5368,279506793.64777,3161,0.23,49.9954
8293,Swire Properties,Hong Kong,13360879566.143,1591753987.7452,169568162.853,5700,0.86,0.0
8299,B3,Brazil,10730225733.358,1472200661.0526,1288972589.4916,2889,2.84,14.6869
8303,Shin Kong Financial Holding,Taiwan,5862230547.0377,733220664.79716,49170810.197234,16721,0.0,33.096531542397
8305,Citizen Watch,Japan,1441453072.2763,1831385022.9956,174960687.03914,11935,0.29,9.85675
8313,Haier Smart Home,China,27710079263.98,35156452185.781,3168630424.372,122733,1.0,13.349
8325,Gree,Japan,444811027.84309,349204510.96153,41210413.272464,1580,0.67,12.0654
8332,Wharf REIC,Hong Kong,7539646970.6938,1424502875.8797,226495437.31797,2900,0.53,14.4568
8357,Osotspa,Thailand,1303041180.6147,672938121.69938,82387679.993784,,0.61,20.7748
8360,"BML, Inc.",Japan,807527542.80502,807340857.48907,55984696.18243,4513,0.14,6.59139
8362,Ni podatka,India,3542180827.9073,339824996.26778,98007585.382938,4666,1.64,54.038
8364,Ni podatka,India,1500032337.4468,442646304.52937,209988112.24818,4025,0.59,7.56777
8383,Bank of Shanghai,China,16277182886.596,6335225183.7112,3217682181.0651,14333,1.04,5.40616
8397,Ni podatka,Hong Kong,295262515.95961,7038632303.8482,,53836,4.29,3.6808859620535
8408,Ni podatka,China,22806905269.497,8176191313.243,10008031545.448,28675,5.49,9.44823
8419,Ni podatka,India,10365941049.922,2336025518.2683,298136525.79081,4843,0.22,54.6492
8421,Ni podatka,China,15801344352.063,25740333550.038,1931570301.6722,97288,0.25,
8425,Ni podatka,India,11612086202.906,6520605206.4574,648713122.3917,23025,0.82,28.9451
8426,Ni podatka,China,6516999206.006,10406810897.371,117262562.54756,41058,4.04,
8432,New Hope Liuhe,China,5341764467.3153,12314500842.499,653499244.5569,41327,1.89,
8442,Daiseki,Japan,984244162.82376,377815037.94908,85360762.896407,1264,2.05,
8453,Asset World Corp,Thailand,1879878907.816,423945004.10036,241783106.34565,Ni podatka,5.93,13.256
8463,Arion banki,Iceland,1663638801.8665,497291134.89055,300501322.37244,858,0.29,8.87189
8496,China Merchants Securities,China,19318341182.418,2348909901.3161,1358126401.8786,13461,1.71,21.3088
8503,Geely,China,21677687369.577,28189035434.639,2159827559.551,64000,1.77,11.2074
8512,AMEC,China,16107749414.368,1142652519.9991,207249881.65367,2480,5.02,136.651
8515,Pilot Corporation,Japan,998967645.00397,697156808.60184,103132025.05982,2965,1.01,12.5352
8518,Ni podatka,India,3919472588.0199,1192696515.7029,113414307.91473,3588,0.32,47.8455
8526,Sinopac Financial Holdings,Taiwan,8609104835.3589,1801024978.2137,759763490.22484,10549,0.85,13.1406
8537,KYORIN Pharmaceutical,Japan,508180988.03244,699322692.4731,41619734.636593,2042,0.33,40.1857
8541,Ni podatka,India,3813382604.1349,1029968577.0675,155256903.85902,3920,2.66,16.2226
8545,Nakanishi,Japan,1028881267.41,397791176.1476,159473453.50456,2180,0.29,12.2809
8555,Ni podatka,India,3271415083.8538,1749981609.7103,140758927.85859,5151,0.57,36.9619
8569,Steel Authority of India,India,4764542527.0482,10494360193.425,414904887.82132,62181,0.49,25.5364
8572,COLOPL,Japan,391221056.06632,161709459.03324,6618655.3684568,710,1.75,40.7587
8590,Ni podatka,India,5273372920.2551,1305511763.515,126872492.87927,15415,0.67,47.8776
8594,Ni podatka,India,2681972317.6634,254330903.72477,68108539.75091,4980,0.43,57.3526
8600,Prosus,Netherlands,229965051736.0,2250882077.6939,5326573683.8579,21048,0.42,11.9679
8606,Ni podatka,Hong Kong,11781018045.336,1565910393.5247,,1300,0.29,0.0
8609,China Railway Group,China,15678541703.222,135859554542.73,3834387897.352,299652,1.0,3.09644
8629,L&amp;T Technology Services,India,4343563585.9763,1113022733.9943,181002438.24768,21028,0.07,33.8883
8633,China Merchants Shekou Industrial Zone,China,9955357996.1562,20767424225.899,976641288.71083,49501,0.99,132.451
8648,Ni podatka,China,9961483883.9321,4494215302.4448,368922827.23415,33884,1.25,75.4023
8653,Atul,India,1795426704.7339,569581903.47432,73896852.600706,3188,0.52,36.5722
8682,Luzhou Laojiao,China,24248385592.178,3725396758.5804,2167056419.8005,3832,2.59,
8683,Ni podatka,India,2966260770.2547,867392286.04487,698384985.10623,2467,1.43,5.43563
8695,GungHo Online Entertainment,Japan,878406558.66355,633951704.96868,142853070.43087,1583,0.16,
8697,Shanghai Airport (AVINEX),China,9657680304.2832,1486745002.8256,429413998.32213,13150,1.01,
8700,Meituan,China,68911665356.351,33420052242.644,1863607024.3263,114731,,20.6147
8708,Epiroc,Sweden,20821958793.016,5361181739.2445,987510274.086,19042,0.4,28.6007
8712,B.Grimm Power,Thailand,875746917.94225,1466846633.9733,210400088.7624,Ni podatka,2.31,127.587
8721,Toagosei,Japan,976897496.13418,934413815.91326,109729644.78755,2609,0.46,12.886
8722,Ni podatka,Hong Kong,9973244782.1871,4534177205.9022,780322060.43446,26059,1.16,0.0
8723,Ni podatka,India,11694755244.016,7098693884.4989,2701735128.2561,78122,0.18,6.20361
8740,DeNA,Japan,1451536228.2958,798350771.94626,,2897,1.02,1302.9934949756
8747,Wiwynn,Taiwan,15454936768.5,16546519358.216,1228632162.4088,Ni podatka,0.34,16.9397
8748,China Development Financial,Taiwan,7261163290.3134,2381706479.6961,1093168117.733,13289,1.93,7.22025
8765,Ni podatka,India,5690138269.1761,489682730.35693,296824367.74552,1470,0.49,25.609
8770,Ni podatka,India,502184173.95445,32081506843.81,34223086.031282,111,0.45,47.4176
8777,Yonyou,China,6757808590.8715,1041658303.596,,19594,1.38,197.77013932645
8789,Ni podatka,India,5518157229.2558,1038169456.0751,115332011.48093,5374,0.78,63.043
8792,LONGi Green Energy Technology,China,15624123394.85,9334059984.5173,,37853,1.66,43.0089
8799,Ni podatka,Hong Kong,14309691371.957,2786341747.159,1150459404.7105,9970,0.07,14.1298
8802,Krung Thai Bank,Thailand,9094348936.7471,3937833872.4976,1503662886.9021,Ni podatka,0.81,8.20342
8805,Ni podatka,India,5347476645.8774,4778641314.9364,37320447.088194,12,0.4,146.089
8814,Ni podatka,Taiwan,11333538989.923,2372750949.647,616308300.27318,11738,0.61,11.5602
8816,Al Rajhi Bank,S. Arabia,86012952652.629,8189807777.7,5775970684.3698,23437,1.05,18.0892
8820,Crompton Greaves Consumer Electricals,India,2063707228.3017,772861426.13794,72265905.24441,2190,1.84,40.2797
8826,Mixi,Japan,1284414928.4313,858616746.90747,74012308.804691,1645,1.24,19.0857
8835,Bangkok Expressway and Metro (BEM),Thailand,2099797098.1159,437901360.31609,179225200.68634,Ni podatka,0.93,20.3364
8857,Adeka Corporation,Japan,1958059111.9255,2335529102.8422,230087598.44196,5512,0.72,13.0815
8862,Ni podatka,China,4657325329.1694,8910317806.4759,737055961.44104,,0.91,13.2459
8865,Far Eastern New Century,Taiwan,4143184910.7158,7012606188.6149,618444411.34691,,1.66,16.667
8870,Ni podatka,India,2402482282.2952,851692518.02346,72444228.550565,3326,1.21,72.8456
8878,Sakata Seed,Japan,903618600.5963,504224464.94387,125876383.34489,2948,0.83,13.9523
8893,Kokuyo,Japan,547139768.93318,1899815156.2386,190695449.08226,7647,2.06,2.97566
8897,EQT,Sweden,36377563608.147,2364584341.7751,801266912.15742,1937,0.26,229.116
8901,Ni podatka,India,9347100113.5304,4011901772.4367,587255819.27037,6200,1.96,20.0818
8902,QNB Finansbank,Turkey,49821500776.06,3135058609.8287,1319112825.532,14624,0.0,92.1789
8910,AIA Engineering,India,2770256618.3617,427029604.16333,142065946.90371,1287,1.29,25.4766
8913,Ni podatka,India,7049407836.5052,4415719391.5679,500747603.28436,60000,0.14,21.328
8920,East Money Information,China,54863367639.609,1607026138.7054,1528749772.768,5560,3.4,52.0613
8924,Ni podatka,India,2744773914.7112,335794011.63614,76053091.425133,1649,0.11,46.1342
8930,Ni podatka,Taiwan,7681457653.1807,3361185997.9494,501773690.31978,,2.02,16.2968
8931,BOE Technology,China,18874642910.849,24129649255.169,802669002.70581,99100,0.48,
8936,Becle,Mexico,3554655216.3819,1939075580.1763,378095086.05075,8371,1.65,14.651
8939,Sany Heavy Industry,China,21400064528.255,10027053955.447,1138271409.2898,25363,0.94,
8945,Ni podatka,India,10600660349.57,2294031786.8983,1279927949.1794,79872,1.5,15.1872
8947,Ni podatka,India,7243466714.9525,4958966827.8072,890571600.73996,9603,,35.7444
8952,Ni podatka,China,22377132081.614,8033739056.5614,3735093848.9246,26976,0.25,6.81778
8955,Wanhua Chemical,China,25787009016.776,21015268555.981,2012860719.4781,33303,0.69,
8956,Sapporo,Japan,3423529390.6068,3009459180.9073,137644693.7511,6402,2.43,
8960,Berli Jucker (BJC),Thailand,1823412969.9619,4032275575.8905,178152862.64932,Ni podatka,1.71,18.2085
8977,Ni podatka,S. Korea,243938252.27604,986483693.70656,Ni podatka,1938,0.75,113.36805691314
8982,YANGHE,China,13369812029.79,2478032388.939,531736630.85401,21532,1.44,5.26478
8983,Relaxo Footwear,India,1154794547.9197,271061086.67624,23656787.766564,8026,6.68,70.6329
9018,Syngene International,India,2444790075.9526,361670874.88733,71241531.209052,6847,0.52,61.1236
9028,Ni podatka,India,5156716650.0964,1461634110.9769,250344680.64117,24518,1.55,30.3225
9033,Ni podatka,India,2080352335.9617,401301103.84725,218440054.53992,979,1.66,11.0281
9041,Ni podatka,India,4880501465.7168,3475204371.353,1264373908.6425,50564,0.02,5.54484
9042,Chailease Holding,Taiwan,5592210916.4334,609790795.84521,847614698.25721,Ni podatka,0.87,8.77457
9053,Aarti Industries,India,1324584847.4813,698638679.55849,20506238.057816,6185,0.23,47.4114
9055,Zee Entertainment,India,1082582785.4681,803203753.36027,98479516.899228,3182,1.84,17.3534
9059,ASUS,Taiwan,13166385867.47,17860784028.712,1318393365.5071,Ni podatka,0.32,10.3911
9060,Digital Garage,Japan,980413973.48955,220586545.53751,36577775.912559,1087,3.38,23.3801
9061,Ni podatka,India,5140453626.2431,1441119456.0933,193103070.66536,4079,1.59,53.3764
9086,Cholamandalam Investment and Finance,India,11609144103.036,1430580679.744,602689093.30308,9125,1.33,28.1109
9107,PTT PCL,Thailand,23231579843.748,73848508579.408,4803774630.8124,,1.59,9.77907
9111,Tata Communications,India,4286783362.2884,2351990487.8199,264728742.13767,7144,0.71,43.0249
9114,ZTE,China,25062522972.684,14684055010.279,1474927310.9102,68375,4.18,22.5061
9125,Ni podatka,China,2236538586.8908,289943601.95551,29429683.615828,7888,1.95,36.263868651724
9129,Alembic Pharmaceuticals,India,1788815893.1928,672404497.34246,83366488.22757,14858,0.17,30.735
9133,MIRAIT ONE Corporation,Japan,1474724883.9802,3021710430.5682,117530647.05682,16985,0.85,101.146
9138,Ni podatka,Hong Kong,14120541269.048,5022939238.1263,1636548866.4889,55000,0.49,0.0
9142,Yageo,Taiwan,8046051017.5139,3407804175.113,747745938.31003,35000,1.82,3.41306
9151,Ni podatka,China,25913495525.347,15920596339.776,6197154573.9079,47982,1.82,4.99463
9162,AIER Eye Hospital,China,15005124093.106,2593785031.867,572454642.25948,42693,0.98,36.0322
9166,Adani Enterprises,India,25163976963.442,9469568281.9801,1505598576.9689,8676,1.34,65.1726
9175,Ni podatka,Mexico,11400092815.959,18451529128.892,866829419.92044,152229,0.94,23.3084
9197,AU Small Finance Bank,India,5200069964.7749,1102346730.9233,291426704.55921,29738,1.54,23.7675
9211,TVS Motor,India,15104517100.691,3891813056.9971,376320417.98949,5459,0.63,68.8457
9213,Ni podatka,China,8204849737.4252,5017660857.9861,777394543.33341,137178,0.58,14.8921
9220,Ni podatka,India,3013440978.4553,4509253389.0769,114517479.95281,13926,1.87,28.4064
9224,Ni podatka,India,4415818792.6788,1438761403.5929,101288836.9962,1938,1.08,58.8406
9229,Pegatron,Taiwan,5285471023.4282,31389204572.883,589266881.33979,Ni podatka,0.57,13.6787
9233,BYD,China,121924699740.15,97680008904.953,6803959149.853,968900,4.34,17.8064
9245,Sino Biopharmaceutical,China,15938032169.977,3306398030.1598,1767738976.0172,25806,5.46,29.1767
9254,Ni podatka,India,10290278430.865,1256151534.9102,244155611.42755,3625,0.03,60.162
9257,Ni podatka,Taiwan,4084779074.8103,886374082.52507,,Ni podatka,0.75,131.82563255024
9259,Yili Group,China,21700154222.709,13812602328.248,1258986523.4566,63414,3.18,9.86262
9264,Nat Games (Nexon Games),S. Korea,547286264.69824,155177442.06878,21022450.625634,Ni podatka,1.62,136.503
9265,OPTiM,Japan,181287843.75703,59790112.966282,10872753.975296,398,0.7,63.3349
9270,CK Hutchison Holdings,Hong Kong,21609845724.657,31039754387.735,3151954368.7963,300000,0.29,0.0
9286,Central Retail Corporation,Thailand,3397969344.1471,6323397261.7594,404602905.46572,Ni podatka,3.62,18.6962
9289,Sanofi India Limited,India,1151187182.2072,196834950.06967,49824405.369794,1225,0.67,30.5985
9306,Ni podatka,Hong Kong,18279923595.715,10035508024.428,1714327634.1736,7069,0.15,0.0
9319,Chang Hwa Commercial Bank,Taiwan,6336231974.6574,1114721122.1629,491021188.94863,Ni podatka,1.03,14.943
9320,WuXi Biologics,China,14098393274.604,2191728781.9211,567361893.08369,12435,0.74,34.5241
9326,Ni podatka,India,7124231492.3709,1733193110.2413,417541194.91231,22052,0.24,20.1431
9344,Home Product Center,Thailand,2436516611.137,1770875645.2865,200135792.40811,Ni podatka,1.39,16.0563
9346,Ni podatka,India,10627855989.042,2245371001.0562,262059888.04555,71113,1.53,70.8853
9350,Ni podatka,India,16002160353.669,2062127899.6327,378190157.55403,11041,2.12,46.8853
9351,Telenor,Norway,19478334317.316,6511042601.1784,1364438807.0965,10867,0.54,21.831
9354,Ni podatka,S. Korea,143431580.52834,562277069.95918,78855559.521866,Ni podatka,0.0,2.33351
9356,Shanghai Commercial and Savings Bank,Taiwan,5577574647.3687,1454965333.2267,516406993.32488,Ni podatka,0.36,14.6435
9366,DNB,Norway,32925007690.201,7059189544.7698,4469868094.2869,11188,0.75,9.34458
9376,TS TECH,Japan,1290899267.4651,2585436992.4503,128103283.42175,14719,0.19,20.026
9380,Ni podatka,India,7536952886.6803,1095872147.4248,445446822.37554,5092,1.42,23.0024
9382,PTT Global Chemical,Thailand,3130730218.4093,14220653154.237,,,0.0,69.435258296704
9391,Advantech,Taiwan,8339905939.0559,1802121561.197,317266453.95112,,2.96,33.8915
9398,SRF Limited,India,8166382613.2364,1476774980.182,227465851.85146,7171,0.51,70.6256
9400,Global Power Synergy,Thailand,3132617161.6334,2242698696.1255,153817127.30932,,0.0,23.2721
9401,Ni podatka,Thailand,7851459930.5042,4808666984.6763,1477376900.9948,,0.0,6.76343
9402,TODA corp,Japan,1835728337.215,3046401192.0225,170288479.37787,6621,1.69,23.088
9407,3M India,India,3366276459.4136,461632673.86322,80587916.481662,1132,0.94,56.9706
9414,Sandvik,Sweden,27233937566.123,10245747939.977,1791566806.8397,41400,0.54,22.3044
9429,PI Industries,India,5444181448.4644,778249203.60091,212607289.33859,3079,0.38,31.4084
9433,Ni podatka,China,26117185785.17,74246351984.928,1433395624.4767,187739,0.74,14.6633
9434,Ni podatka,India,2804543659.2502,1598899639.8734,158779688.48062,1034,0.08,23.4442
9440,Ni podatka,Hong Kong,14372596787.942,6119978557.841,936694127.33197,56444,0.43,21.6854
9441,Union Bank of India,India,9256138197.6011,5946030597.2933,2398319992.7831,75866,1.78,5.33223
9443,Mitsui Fudosan Logistics Park,Japan,2054970611.0951,138755277.94043,50148162.38097,,0.64,30.9408
9449,Sanwa Holdings,Japan,5904982575.5699,3567048599.6532,368979356.2361,12930,2.09,
9452,Ni podatka,China,1337755644.139,29663271485.788,,69932,,
9455,CITIC limited,China,35543556485.589,111454852245.25,15568515387.38,188862,2.11,5.2227
9456,Yuanta Financial Holding,Taiwan,12152071752.998,3187058528.6995,1155932439.8994,15498,0.46,12.9655
9460,Ni podatka,Japan,1610111256.9509,241466465.13672,86831116.497159,,0.08,20.9394
9474,Ni podatka,Taiwan,8508666395.8296,2844338213.7363,444807016.85345,Ni podatka,0.84,24.1907
9477,Kasikornbank,Thailand,10560293383.266,5279657393.294,1622322400.9979,Ni podatka,0.6,8.47021
9484,Coromandel,India,6607844067.5022,1838869969.0455,326611725.77369,5064,1.94,32.7845
9487,Ni podatka,Thailand,6113791291.5599,1267489643.3381,628241058.68506,Ni podatka,4.63,14.292
9494,AS ONE Corporation,Japan,1055518562.2214,558297011.9628,63289099.734557,711,1.83,25.0292
9500,Ni podatka,China,23532800364.913,1438920754.5669,596793803.5996,9123,0.84,45.6506
9504,Godrej Properties,India,5698140244.0383,452062544.23139,185839093.91463,3015,1.86,33.4338
9515,Ni podatka,Japan,1265725581.3167,2033440065.809,171481583.91905,4625,0.59,12.1568
9522,Toyo Tire,Japan,3379113543.9602,3194510387.2968,704687968.82379,10410,0.03,8.05693
9529,Galaxy Entertainment,Hong Kong,19708742269.038,4791631060.3352,989180449.14365,21100,0.34,0.0
9533,YTL Corporation Berhad,Malaysia,5926551243.6724,6071137869.3066,855756587.53824,11110,1.11,15.9188
9536,Rural Electrification Corp,India,8951640476.9247,2214057164.6933,2154465869.3659,440,1.38,5.55655
9537,Ni podatka,India,4803091856.3968,497841436.15955,107944698.72594,23853,0.42,62.0616
9552,IHI Corporation,Japan,13636174690.483,7742367377.8466,,28237,0.0,9008.8386109591
9563,ASICS Corporation,Japan,16690211029.539,3528331987.2838,416827730.38769,8987,2.3,42.7611
9564,Aica Kogyo Company,Japan,1365931153.905,1383545246.6,152739650.27213,5007,0.42,17.9636
9567,Mitsui O.S.K. Lines,Japan,9494112697.5568,9523322908.1791,1731389114.7625,9795,1.35,2.68692
9568,TechnoPro Holdings,Japan,2928147870.4962,1248059472.5184,127201388.89062,28746,0.04,30.8042
9574,CRRC,China,25113999456.122,31215324089.977,2389335307.4729,154292,0.79,32.1571
9581,Ni podatka,Taiwan,4718278151.2038,4333117547.1677,609419470.5354,Ni podatka,1.54,29.3338
9583,Nifco Inc.,Japan,2364101924.129,2172784327.1292,187964926.98801,10226,0.54,12.2497
9586,Banorte,Mexico,21925539226.582,9484776568.0156,3250075012.1832,32966,1.89,8.99896
9587,ACC,India,3286393564.0793,2183165943.4316,331716465.94989,3170,0.04,16.2064
9591,Ni podatka,India,4009869891.4211,807485599.14207,36049229.744315,29346,1.23,158.111
9595,Container Corporation of India,India,3902174865.0233,898700884.05356,177275806.61905,1359,0.28,33.676
9598,Ni podatka,India,12172274113.41,4245474823.2335,4113966637.0022,501,0.54,5.14396
9604,Ni podatka,India,4298719806.2199,1045490329.2663,195168948.73667,3472,1.27,26.9399
9611,China Pacific Insurance,China,44199173089.118,37174893808.918,27720709106.839,94990,0.93,8.9332
9616,Ni podatka,China,23613716143.611,16496835447.116,3936105840.863,63490,1.92,3.5869
9617,Ni podatka,China,35807711347.012,5103066673.6406,1983225818.4552,39414,6.52,29.7081
9618,Hua Nan Financial Holdings,Taiwan,10890575183.402,1744661301.3242,760381026.74615,11533,0.36,17.4859
9619,China Securities,China,22120629593.154,2580246929.4542,1121595353.7142,13045,3.2,35.0896
9628,Trent Limited,India,18292923865.786,1774049985.9966,210262192.25764,25277,1.19,110.413
9636,Ni podatka,China,26790073471.008,34331296211.614,1671374157.691,147189,7.91,31.2345
9648,Nerolac Paints,India,1884613144.9224,785755525.32201,146811813.56752,3859,0.82,14.9897
9660,Ni podatka,China,28079422544.509,16818160363.076,6323625368.2733,41011,0.25,4.44796
9663,China Tourism Group Duty Free,China,17052827580.67,6458717928.3303,705876790.86483,16027,0.54,14.8919
9668,Isetan Mitsukoshi Holdings,Japan,5145734175.8979,3140721439.4286,329084441.35904,9467,2.76,66.1832
9672,Ni podatka,Thailand,4485758228.8614,15032803509.49,1115317208.4975,,8.37,5.56948
9713,Bank of China (Hong Kong),Hong Kong,40915448221.534,7926003726.6982,5158082998.0421,15309,2.71,9.70038
9721,National Mineral Development Corporation,India,5878507094.1701,2533181328.6661,939512012.42924,5539,0.1,8.33195
9723,Ni podatka,China,22704316792.203,11433360273.217,1509427132.1011,24107,2.41,1.79791
9726,Whirlpool India,India,1602717456.2082,789181244.50825,54243431.622326,2668,,41.6398
9730,Ni podatka,Japan,13179782214.845,13963456690.911,1857971254.1318,35243,0.67,3.56442
9755,Hindustan Aeronautics,India,28146608650.859,3071876230.8543,1119719618.6495,24375,0.28,48.8642
9762,Bayer Crop Science,India,2286517933.116,563406003.80515,73098680.223155,1321,0.71,32.0563
9767,Honeywell Automation India,India,3326856021.5709,442639823.39365,70030525.817251,3140,0.7,64.9048
9771,Taiwan Cooperative Financial,Taiwan,10423663040.787,1776739532.2729,654471372.09046,9678,0.42,18.5623
9784,Ni podatka,Taiwan,28379231855.114,49723343062.495,2563984228.5013,Ni podatka,1.32,15.3738
9785,Ni podatka,India,6198383679.7148,5170016514.4565,1032913340.6532,494,0.79,6.95574
9790,Madras Rubber Factory,India,5807064115.0106,2860163943.7911,276988683.56085,19209,0.93,31.026
9803,United Breweries,India,4751298306.9256,902723018.47039,62342495.901883,2837,0.3,89.5595
9815,Ni podatka,India,6159054904.5053,1321664787.0695,278317971.60673,16966,1.35,24.2566
9819,Ni podatka,China,36051802723.507,18789651066.497,3735890393.9521,133642,0.84,659.95468527973
9823,Ni podatka,China,34558619772.259,11101998887.341,1824867527.9891,59689,0.03,34.5208
9824,First Financial Holding,Taiwan,11433991126.601,1882566266.5912,835451541.33737,10475,0.18,15.1799
9851,Sojitz Corporation,Japan,4734302536.1624,14109083961.511,735342961.38191,22819,0.28,8.93269
9890,Ni podatka,S. Korea,269910949.31555,884028797.87062,66217987.235653,,0.7,6.70508
9917,Ni podatka,India,2450614439.7451,998717417.66384,399043363.77382,12220,0.21,36.3634
9926,Samvardhana Motherson,India,9508125621.317,11455998703.861,629732225.23654,47456,0.69,28.5919
9927,Ni podatka,Taiwan,9034531772.0839,5381536776.7826,592785383.46124,,0.47,23.2023
9928,Rosseti,Russia,,,Ni podatka,,0.0,0.0
9930,Alibaba Health Information Technology,Hong Kong,9654613179.3903,3611481508.6369,184120954.85532,1435,1.49,80.8943
9933,Sega Sammy Holdings,Japan,3759984197.1548,2738585852.7416,249201253.10171,8623,0.03,14.267
9940,Budweiser APAC,Hong Kong,12176824582.44,5245206181.0493,834231028.79524,24000,1.2,13.0867
